iter	Passed	Remaining
0	73	73277
1	94	47146
2	113	37676
3	131	32829
4	150	29903
5	167	27673
6	184	26124
7	200	24863
8	217	23918
9	232	23032
10	248	22364
11	264	21801
12	279	21242
13	295	20776
14	310	20403
15	326	20092
16	344	19902
17	360	19657
18	375	19372
19	392	19216
20	407	18987
21	423	18807
22	438	18616
23	453	18459
24	468	18275
25	484	18149
26	499	17988
27	514	17857
28	529	17731
29	545	17635
30	561	17549
31	577	17467
32	594	17407
33	609	17318
34	625	17252
35	641	17170
36	656	17091
37	673	17052
38	688	16964
39	703	16890
40	719	16832
41	736	16798
42	751	16727
43	767	16665
44	785	16676
45	801	16615
46	817	16581
47	832	16514
48	847	16439
49	861	16376
50	877	16337
51	893	16281
52	906	16204
53	921	16142
54	938	16117
55	954	16089
56	970	16048
57	986	16020
58	1002	15983
59	1017	15942
60	1033	15912
61	1049	15871
62	1064	15833
63	1079	15788
64	1095	15755
65	1112	15737
66	1127	15700
67	1141	15640
68	1156	15610
69	1172	15583
70	1187	15543
71	1202	15503
72	1218	15474
73	1234	15450
74	1250	15420
75	1266	15403
76	1283	15383
77	1299	15363
78	1316	15350
79	1332	15325
80	1347	15291
81	1363	15265
82	1379	15239
83	1394	15206
84	1409	15172
85	1423	15132
86	1438	15100
87	1452	15056
88	1467	15020
89	1483	15000
90	1498	14970
91	1514	14950
92	1532	14942
93	1547	14914
94	1562	14881
95	1579	14876
96	1594	14845
97	1609	14813
98	1625	14795
99	1643	14789
100	1660	14778
101	1676	14757
102	1692	14739
103	1707	14713
104	1722	14686
105	1737	14655
106	1750	14610
107	1765	14583
108	1780	14555
109	1796	14537
110	1811	14508
111	1828	14495
112	1842	14462
113	1858	14443
114	1873	14417
115	1890	14405
116	1906	14384
117	1923	14375
118	1939	14361
119	1955	14341
120	1972	14328
121	1989	14316
122	2006	14306
123	2022	14287
124	2037	14262
125	2053	14246
126	2069	14228
127	2086	14214
128	2103	14200
129	2118	14175
130	2134	14156
131	2153	14163
132	2169	14142
133	2184	14114
134	2200	14100
135	2216	14083
136	2234	14075
137	2253	14074
138	2269	14057
139	2285	14038
140	2300	14015
141	2316	13999
142	2333	13984
143	2349	13968
144	2365	13947
145	2380	13921
146	2395	13899
147	2411	13883
148	2426	13860
149	2442	13840
150	2458	13821
151	2473	13797
152	2488	13777
153	2503	13753
154	2520	13739
155	2535	13718
156	2550	13694
157	2566	13675
158	2583	13666
159	2599	13648
160	2616	13635
161	2631	13613
162	2647	13596
163	2664	13581
164	2680	13563
165	2698	13556
166	2714	13542
167	2731	13525
168	2747	13508
169	2763	13491
170	2779	13475
171	2796	13461
172	2813	13447
173	2828	13428
174	2845	13412
175	2860	13393
176	2877	13377
177	2892	13358
178	2908	13341
179	2924	13324
180	2941	13308
181	2957	13291
182	2972	13272
183	2988	13254
184	3003	13232
185	3019	13214
186	3035	13199
187	3051	13181
188	3068	13164
189	3084	13147
190	3100	13130
191	3117	13118
192	3135	13109
193	3151	13093
194	3167	13076
195	3183	13058
196	3199	13040
197	3215	13024
198	3231	13007
199	3248	12995
200	3264	12977
201	3280	12957
202	3296	12942
203	3313	12928
204	3328	12906
205	3344	12891
206	3361	12877
207	3375	12854
208	3390	12833
209	3406	12814
210	3422	12796
211	3438	12780
212	3452	12757
213	3467	12734
214	3487	12734
215	3503	12717
216	3520	12704
217	3537	12688
218	3552	12670
219	3568	12652
220	3585	12639
221	3601	12620
222	3617	12604
223	3634	12592
224	3650	12574
225	3666	12558
226	3682	12541
227	3701	12533
228	3716	12513
229	3733	12498
230	3750	12485
231	3768	12474
232	3784	12458
233	3801	12444
234	3818	12429
235	3834	12411
236	3849	12394
237	3866	12378
238	3881	12359
239	3897	12342
240	3914	12328
241	3932	12316
242	3948	12300
243	3963	12280
244	3980	12265
245	3996	12249
246	4012	12233
247	4028	12215
248	4044	12198
249	4061	12184
250	4078	12170
251	4094	12153
252	4110	12136
253	4126	12120
254	4143	12104
255	4160	12090
256	4175	12071
257	4191	12055
258	4207	12038
259	4222	12018
260	4238	12002
261	4252	11977
262	4268	11961
263	4284	11943
264	4300	11926
265	4318	11916
266	4334	11900
267	4352	11888
268	4368	11870
269	4384	11854
270	4400	11838
271	4417	11822
272	4432	11804
273	4447	11784
274	4464	11770
275	4480	11753
276	4496	11737
277	4514	11723
278	4528	11703
279	4545	11687
280	4563	11676
281	4579	11658
282	4596	11645
283	4612	11628
284	4627	11609
285	4643	11591
286	4659	11575
287	4677	11562
288	4692	11544
289	4708	11527
290	4723	11509
291	4740	11493
292	4756	11476
293	4771	11458
294	4787	11442
295	4803	11424
296	4817	11402
297	4833	11386
298	4848	11367
299	4865	11351
300	4880	11333
301	4896	11316
302	4911	11298
303	4927	11282
304	4943	11264
305	4960	11251
306	4977	11235
307	4992	11217
308	5008	11200
309	5024	11182
310	5040	11166
311	5056	11149
312	5071	11131
313	5088	11116
314	5103	11098
315	5119	11081
316	5135	11065
317	5153	11051
318	5170	11036
319	5185	11018
320	5200	11001
321	5216	10983
322	5230	10962
323	5245	10944
324	5259	10923
325	5274	10903
326	5289	10885
327	5306	10871
328	5320	10851
329	5335	10832
330	5350	10814
331	5365	10794
332	5379	10774
333	5393	10754
334	5407	10735
335	5422	10716
336	5436	10696
337	5451	10677
338	5467	10661
339	5483	10645
340	5501	10631
341	5517	10614
342	5532	10597
343	5549	10582
344	5566	10567
345	5583	10553
346	5600	10539
347	5616	10523
348	5632	10506
349	5670	10531
350	5717	10571
351	5761	10606
352	5784	10602
353	5799	10583
354	5815	10565
355	5830	10547
356	5847	10532
357	5864	10516
358	5881	10500
359	5896	10483
360	5912	10466
361	5928	10449
362	5943	10430
363	5959	10413
364	5975	10395
365	5992	10380
366	6008	10363
367	6024	10346
368	6040	10329
369	6055	10310
370	6071	10294
371	6087	10276
372	6103	10260
373	6119	10243
374	6134	10223
375	6149	10204
376	6164	10186
377	6178	10166
378	6194	10150
379	6208	10130
380	6224	10112
381	6240	10095
382	6255	10077
383	6271	10060
384	6287	10044
385	6304	10028
386	6320	10011
387	6336	9994
388	6353	9978
389	6369	9962
390	6385	9946
391	6402	9929
392	6418	9913
393	6433	9895
394	6448	9876
395	6465	9861
396	6481	9844
397	6497	9827
398	6513	9811
399	6528	9792
400	6542	9773
401	6558	9755
402	6575	9740
403	6591	9724
404	6608	9708
405	6623	9690
406	6640	9675
407	6655	9657
408	6672	9641
409	6688	9624
410	6704	9608
411	6721	9592
412	6737	9576
413	6752	9557
414	6768	9540
415	6784	9524
416	6800	9508
417	6817	9491
418	6832	9474
419	6851	9462
420	6866	9443
421	6882	9426
422	6897	9409
423	6914	9393
424	6930	9377
425	6946	9359
426	6962	9342
427	6980	9329
428	7005	9323
429	7022	9308
430	7038	9291
431	7054	9275
432	7070	9258
433	7087	9242
434	7102	9225
435	7118	9208
436	7135	9192
437	7152	9177
438	7168	9160
439	7184	9144
440	7201	9128
441	7218	9112
442	7236	9098
443	7252	9081
444	7269	9066
445	7284	9048
446	7302	9034
447	7318	9018
448	7335	9001
449	7352	8986
450	7368	8969
451	7384	8952
452	7400	8935
453	7416	8918
454	7430	8900
455	7446	8882
456	7462	8866
457	7478	8850
458	7495	8834
459	7510	8816
460	7526	8799
461	7541	8782
462	7557	8765
463	7572	8747
464	7588	8731
465	7605	8715
466	7625	8702
467	7642	8687
468	7662	8676
469	7681	8662
470	7695	8642
471	7710	8625
472	7726	8608
473	7742	8591
474	7757	8574
475	7773	8556
476	7787	8538
477	7803	8521
478	7819	8505
479	7837	8490
480	7859	8480
481	7875	8464
482	7892	8447
483	7907	8430
484	7924	8414
485	7940	8398
486	7957	8382
487	7972	8364
488	7988	8347
489	8004	8331
490	8021	8315
491	8037	8298
492	8054	8283
493	8070	8266
494	8084	8248
495	8100	8230
496	8116	8214
497	8131	8197
498	8150	8182
499	8166	8166
500	8182	8149
501	8197	8132
502	8213	8115
503	8229	8099
504	8246	8082
505	8262	8066
506	8278	8049
507	8292	8031
508	8309	8016
509	8325	7998
510	8340	7980
511	8354	7963
512	8371	7946
513	8387	7930
514	8403	7913
515	8418	7896
516	8434	7880
517	8451	7863
518	8466	7846
519	8481	7829
520	8496	7811
521	8513	7795
522	8529	7779
523	8546	7763
524	8561	7746
525	8578	7730
526	8593	7713
527	8609	7696
528	8625	7679
529	8641	7663
530	8657	7646
531	8674	7631
532	8690	7614
533	8706	7598
534	8723	7582
535	8739	7565
536	8756	7549
537	8771	7532
538	8787	7516
539	8803	7499
540	8819	7482
541	8834	7465
542	8850	7448
543	8866	7432
544	8882	7415
545	8898	7398
546	8913	7382
547	8928	7364
548	8944	7348
549	8959	7330
550	8975	7314
551	8991	7297
552	9007	7280
553	9024	7265
554	9041	7249
555	9057	7233
556	9073	7216
557	9087	7198
558	9103	7181
559	9118	7164
560	9133	7147
561	9149	7130
562	9165	7114
563	9181	7097
564	9197	7081
565	9213	7064
566	9230	7049
567	9247	7032
568	9263	7016
569	9279	7000
570	9296	6984
571	9311	6967
572	9327	6950
573	9343	6934
574	9360	6918
575	9376	6901
576	9392	6886
577	9409	6869
578	9425	6853
579	9441	6837
580	9457	6820
581	9474	6804
582	9490	6788
583	9507	6772
584	9522	6755
585	9538	6738
586	9555	6723
587	9572	6706
588	9589	6691
589	9604	6674
590	9620	6657
591	9635	6640
592	9652	6624
593	9669	6608
594	9684	6592
595	9702	6576
596	9744	6578
597	9780	6574
598	9827	6579
599	9846	6564
600	9862	6547
601	9878	6531
602	9894	6514
603	9910	6497
604	9927	6481
605	9943	6464
606	9957	6446
607	9972	6429
608	9988	6412
609	10004	6396
610	10018	6378
611	10034	6361
612	10048	6344
613	10063	6326
614	10077	6308
615	10092	6291
616	10106	6273
617	10122	6256
618	10138	6240
619	10153	6223
620	10169	6206
621	10185	6190
622	10201	6173
623	10218	6157
624	10234	6140
625	10250	6124
626	10266	6107
627	10282	6090
628	10298	6074
629	10314	6057
630	10330	6041
631	10346	6024
632	10361	6007
633	10377	5990
634	10393	5974
635	10407	5956
636	10423	5940
637	10438	5922
638	10456	5907
639	10473	5891
640	10489	5874
641	10505	5858
642	10521	5841
643	10539	5826
644	10556	5810
645	10572	5793
646	10589	5777
647	10605	5761
648	10620	5744
649	10636	5727
650	10652	5710
651	10668	5694
652	10685	5678
653	10701	5661
654	10718	5645
655	10734	5629
656	10749	5612
657	10766	5595
658	10782	5579
659	10799	5563
660	10816	5547
661	10833	5531
662	10850	5515
663	10867	5499
664	10883	5482
665	10899	5466
666	10915	5449
667	10930	5432
668	10946	5416
669	10965	5400
670	10981	5384
671	10997	5367
672	11012	5350
673	11028	5334
674	11044	5317
675	11061	5301
676	11076	5284
677	11092	5268
678	11109	5252
679	11126	5235
680	11141	5219
681	11158	5202
682	11174	5186
683	11191	5170
684	11207	5153
685	11223	5137
